,title,originallink,link,description,pubDate
426,"<b>에스파</b>, 日 첫 쇼케이스에 92만 명 응모 &apos;기염&apos;..대세 파워 입증",http://www.osen.co.kr/article/G1111914936,https://n.news.naver.com/mnews/article/109/0004674523?sid=106, ‘메타버스 그룹’ <b>에스파</b>(aespa)가 일본 첫 단독 쇼케이스를 성공적으로 마쳤다. <b>에스파</b>는 지난 6~7일 양일간 일본 요코하마에 위치한 피아 아레나 MM에서 일본 첫 단독 쇼케이스 ‘aespa JAPAN PREMIUM... ,"Mon, 08 Aug 2022 10:26:00 +0900"
427,&quot;소녀시대가 돌아왔다&quot;...에스엠 주가 상승 이끌까,http://www.newsis.com/view/?id=NISX20220808_0001970644&cID=10403&pID=15000,https://n.news.naver.com/mnews/article/003/0011350028?sid=101,"기사내용 요약 슈주·<b>에스파</b>·소시 컴백 효과…하반기 들어 SM 주가 15%↑ NCT 127 컴백+콘서트 본격화…연말... 특히 3분기엔 슈퍼주니어, <b>에스파</b>, 소녀시대에 이어 NCT 127까지 컴백하면서 사상 최대 실적을 기록할 것으로... ","Mon, 08 Aug 2022 10:24:00 +0900"
428,"&apos;K팝 대세&apos; <b>에스파</b>, 92만명 응모한 日 쇼케이스 성황리 개최",https://www.sedaily.com/NewsView/269PVNI1SD,https://n.news.naver.com/mnews/article/011/0004084955?sid=106,그룹 <b>에스파</b>(aespa)가 4만 관객의 열광 속에서 일본 첫 단독 쇼케이스를 치렀다. <b>에스파</b>는 지난 6~7일 양일간 일본 요코하마에 위치한 피아 아레나 MM에서 일본 첫 단독 쇼케이스 ‘<b>에스파</b> 재팬 프리미엄... ,"Mon, 08 Aug 2022 10:24:00 +0900"
429,"<b>에스파</b>, 일본 첫 단독 쇼케이스 성료…92만명 티켓 응모",http://www.mediapen.com/news/view/744422,http://www.mediapen.com/news/view/744422,그룹 <b>에스파</b>가 일본 첫 단독 쇼케이스를 성공적으로 마쳤다. 소속사 SM엔터테인먼트는 8일 &quot;<b>에스파</b>가 지난 6~7일 양일간 일본 요코하마에 위치한 피아 아레나 MM에서 일본 첫 단독 쇼케이스 ‘<b>에스파</b> 재팬... ,"Mon, 08 Aug 2022 10:22:00 +0900"
430,"<b>에스파</b>, 日 쇼케이스 성공적 마무리 &quot;멋진 추억 고마워&quot;",https://www.asiatoday.co.kr/view.php?key=20220808010004410,https://www.asiatoday.co.kr/view.php?key=20220808010004410,그룹 <b>에스파</b>(aespa)가 일본 첫 단독 쇼케이스를 성공적으로 마쳤다.이들의 소속사 SM엔터테인먼트에 따르면 <b>에스파</b>는 지난 6~7일 양일간 일본 요코하마에 위치한 피아 아레나 MM에서 일본 첫 단독... ,"Mon, 08 Aug 2022 10:16:00 +0900"
431,"<b>에스파</b> 첫 日 쇼케이스, 92만명 신청했다…대세 입증",https://www.hankyung.com/entertainment/article/202208085710H,https://n.news.naver.com/mnews/article/015/0004733980?sid=106,그룹 <b>에스파</b>(aespa)가 일본 첫 단독 쇼케이스를 성공적으로 마쳤다. <b>에스파</b>는 지난 6~7일 양일간 일본 요코하마에 위치한 피아 아레나 MM에서 일본 첫 단독 쇼케이스 &apos;<b>에스파</b> 재팬 프리미엄 쇼케이스 2022... ,"Mon, 08 Aug 2022 10:10:00 +0900"
432,"4세대 K팝그룹 빌보드 점령...에이티즈·엔하이픈, 앨범차트 동시 톱10",https://hankookilbo.com/News/Read/A2022080809230002642?did=NA,https://n.news.naver.com/mnews/article/469/0000690399?sid=103,"지난 4월 스트레이 키즈가 &apos;오디너리(Oddinary)&apos;로 이 차트 정상에 오른 것을 비롯해 <b>에스파</b> 3위, 투모로우바이투게더(TXT) 4위, 세븐틴 4위, 있지 8위 등 톱10 진입이 이어지고 있다.","Mon, 08 Aug 2022 09:55:00 +0900"
433,"&quot;열도도 접수&quot; <b>에스파</b>, 日 첫 쇼케이스부터 92만 명 응모 기염",http://www.stoo.com/article.php?aid=81870537490,http://www.stoo.com/article.php?aid=81870537490,그룹 <b>에스파</b>(aespa)가 일본 첫 단독 쇼케이스를 성공적으로 마쳤다. <b>에스파</b>는 지난 6~7일 양일간 일본 요코하마에 위치한 피아 아레나 MM에서 일본 첫 단독 쇼케이스 ‘aespa JAPAN PREMIUM SHOWCASE 2022 ~SYNK... ,"Mon, 08 Aug 2022 09:52:00 +0900"
434,"<b>에스파</b>, 日 첫 쇼케이스 성황",https://sports.donga.com/article/all/20220808/114854147/1,https://n.news.naver.com/mnews/article/382/0000997168?sid=106,그룹 <b>에스파</b>(aespa)가 일본 첫 단독 쇼케이스를 성공적으로 마쳤다. <b>에스파</b>는 지난 6~7일 양일간 일본 요코하마에 위치한 피아 아레나 MM에서 일본 첫 단독 쇼케이스 ‘aespa JAPAN PREMIUM SHOWCASE 2022 ~SYNK... ,"Mon, 08 Aug 2022 09:50:00 +0900"
435,"<b>에스파</b>, 日 첫 쇼케이스 성황리 개최…티켓 응모에 92만명 몰렸다",http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202208080932943600&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,https://n.news.naver.com/mnews/article/117/0003633620?sid=106,그룹 <b>에스파</b>가 일본 첫 단독 쇼케이스를 성공적으로 마쳤다. <b>에스파</b>는 지난 6~7일 양일간 일본 요코하마에 위치한 피아 아레나 MM에서 일본 첫 단독 쇼케이스 &apos;<b>에스파</b> 재팬 프리미엄 쇼케이스 2022 ~싱크~&apos;를 개최했다.... ,"Mon, 08 Aug 2022 09:49:00 +0900"
